epoch,train_loss,val_loss,train_acc,val_acc
1.0,3.972552695297278,3.592579379907021,0.075,0.1346153846153846
2.0,3.270514198908439,3.15660606439297,0.23413461538461539,0.28076923076923077
3.0,2.8312067094903726,2.8560148642613337,0.36682692307692305,0.3192307692307692
4.0,2.4720167934894564,2.533487355709076,0.4846153846153846,0.4173076923076923
5.0,2.160507543728902,2.302504264620634,0.5740384615384615,0.49230769230769234
6.0,1.9450262296658296,2.156023224271261,0.6225961538461539,0.5173076923076924
7.0,1.7514101219864993,1.9861997294884461,0.6706730769230769,0.5615384615384615
8.0,1.5770339551166845,1.8487120238634256,0.7134615384615385,0.5711538461538461
9.0,1.4210898210222904,1.7212194066781263,0.7427884615384616,0.6057692307692307
10.0,1.296250208008748,1.6286074198209322,0.76875,0.625
11.0,1.19730612968023,1.5450871914625168,0.7774038461538462,0.6538461538461539
12.0,1.1020418588931744,1.454953038921723,0.801923076923077,0.6557692307692308
13.0,1.0108704717399983,1.3700471149041102,0.8240384615384615,0.6846153846153846
14.0,0.9476502109032411,1.3075733109162404,0.8355769230769231,0.6961538461538461
15.0,0.8794119323675449,1.227951416487877,0.8610576923076924,0.7134615384615385
16.0,0.8292963327123568,1.2129131923501308,0.8629807692307693,0.7153846153846154
17.0,0.8089898203427975,1.1516599504993512,0.8576923076923076,0.7307692307692307
18.0,0.7397476203739644,1.094252770107526,0.8778846153846154,0.7326923076923076
19.0,0.6908947446311896,1.0434032591489646,0.8846153846153846,0.75
20.0,0.6457602286281494,1.0065501440029878,0.9014423076923077,0.7596153846153846
21.0,0.6089972432272939,0.9682065245050651,0.8990384615384616,0.7653846153846153
22.0,0.5810572497833234,0.9705379163989654,0.9110576923076923,0.7788461538461539
23.0,0.5571937238797545,0.9177145317196846,0.9201923076923076,0.7807692307692308
24.0,0.5255483201579549,0.8818668767809867,0.9206730769230769,0.7826923076923077
25.0,0.5030633469183857,0.8752631087715809,0.9235576923076924,0.7980769230769231
26.0,0.4938904592230056,0.8408394234684797,0.9298076923076923,0.7980769230769231
27.0,0.4496922747661861,0.8053975076629565,0.9384615384615385,0.825
28.0,0.43444347170969616,0.7978742668261894,0.9379807692307692,0.8076923076923077
29.0,0.40595716915379926,0.7507089118544872,0.9399038461538461,0.8326923076923077
30.0,0.37980425634170667,0.7307087515409176,0.948076923076923,0.8153846153846154
31.0,0.3599222772074147,0.6992417754462132,0.9519230769230769,0.8307692307692308
32.0,0.34180842795624183,0.6842911790769833,0.9514423076923076,0.8326923076923077
33.0,0.3396200715935825,0.6603975350467058,0.9543269230769231,0.8461538461538461
34.0,0.3059877570987178,0.640903750864359,0.9572115384615385,0.8461538461538461
35.0,0.29630494331224605,0.6506997186977129,0.9591346153846154,0.8442307692307692
36.0,0.2888833303935826,0.6316801832272456,0.9625,0.8519230769230769
37.0,0.2731263583203634,0.6235729442766079,0.9629807692307693,0.8538461538461538
38.0,0.2578593898134736,0.5940948571723241,0.9658653846153846,0.8480769230769231
39.0,0.2471574545873759,0.5874816673306319,0.96875,0.85
40.0,0.24656156140307967,0.5738156506648431,0.9663461538461539,0.8653846153846154
41.0,0.23022013378974338,0.556551291507024,0.96875,0.8692307692307693
42.0,0.21362189916231167,0.5420749253951587,0.9677884615384615,0.8596153846153847
43.0,0.20404109647497534,0.5360500775850736,0.9706730769230769,0.8634615384615385
44.0,0.19955017215285736,0.5337283700704575,0.9711538461538461,0.8673076923076923
45.0,0.19431577074126555,0.5247328993219595,0.9745192307692307,0.8557692307692307
46.0,0.18256802519855017,0.5145014880941464,0.9735576923076923,0.8653846153846154
47.0,0.1732786565195196,0.5115143022571619,0.975,0.8653846153846154
48.0,0.16588760794391139,0.5000530233749977,0.9759615384615384,0.8692307692307693
49.0,0.15928420707440147,0.4991153326458656,0.9764423076923077,0.875
50.0,0.1542875577444927,0.485506577245318,0.975,0.8769230769230769
